StudentUsername,TimeTaken,Money,Money_FullScore,Financial_Planning,Financial_Planning_FullScore,Banking,Banking_FullScore,Investments,Investments_FullScore,Loans_And_Credit,Loans_And_Credit_FullScore,Tax_Planning,Tax_Planning_FullScore
NYU06166,00:42:21,1,7,7,12,3,8,9,15,5,8,0,0
NYU06167,00:35:24,3,7,2,12,5,8,5,15,5,8,0,0
NYU06168,00:57:54,5,7,6,12,3,8,8,15,4,8,0,0
NYU06169,00:35:42,4,7,6,12,4,8,11,15,7,8,0,0
NYU06171,00:59:59,4,7,8,12,5,8,6,15,6,8,0,0
NYU06172,00:44:58,5,7,4,12,3,8,10,15,6,8,0,0
NYU06173,00:42:43,6,7,6,12,2,8,6,15,6,8,0,0
NYU06174,00:43:37,5,7,8,12,4,8,7,15,5,8,0,0
NYU06176,00:28:44,3,7,5,12,1,8,5,15,3,8,0,0
NYU06178,00:59:57,6,7,11,12,5,8,9,15,6,8,0,0
NYU06179,00:34:48,4,7,6,12,6,8,10,15,6,8,0,0
NYU06180,00:33:08,3,7,8,12,3,8,7,15,4,8,0,0
NYU06181,00:29:49,3,7,2,12,1,8,4,15,4,8,0,0
NYU06182,00:26:14,3,7,5,12,4,8,4,15,3,8,0,0
NYU06183,00:35:49,5,7,3,12,2,8,8,15,4,8,0,0
NYU06185,00:40:21,3,7,3,12,1,8,2,15,2,8,0,0
NYU06188,00:34:57,2,7,8,12,3,8,11,15,6,8,0,0
NYU06189,00:26:58,4,7,4,12,3,8,6,15,5,8,0,0
NYU06190,00:49:15,4,7,6,12,4,8,7,15,6,8,0,0
NYU06191,00:59:47,6,7,10,12,5,8,9,15,7,8,0,0
NYU06192,00:43:39,1,7,7,12,0,8,4,15,0,8,0,0
NYU06193,00:39:20,5,7,8,12,2,8,11,15,5,8,0,0
NYU07139,00:59:38,6,7,11,12,8,8,14,15,8,8,0,0
NYU07140,00:50:28,5,7,9,12,6,8,13,15,5,8,0,0
NYU07141,00:56:02,6,7,5,12,2,8,6,15,4,8,0,0
NYU07142,00:30:06,2,7,7,12,2,8,7,15,5,8,0,0
NYU07143,00:42:51,6,7,6,12,2,8,1,15,4,8,0,0
NYU07144,00:52:05,5,7,7,12,3,8,8,15,5,8,0,0
NYU07145,00:44:52,5,7,6,12,5,8,8,15,4,8,0,0
NYU07147,00:49:00,6,7,9,12,4,8,6,15,2,8,0,0
NYU07148,00:10:45,2,7,0,12,1,8,1,15,1,8,0,0
NYU07149,00:56:28,3,7,4,12,5,8,3,15,6,8,0,0
NYU07151,00:59:59,6,7,10,12,3,8,12,15,7,8,0,0
NYU07152,00:59:59,6,7,9,12,3,8,10,15,6,8,0,0
NYU07153,00:25:20,6,7,9,12,6,8,8,15,4,8,0,0
NYU07155,00:43:18,3,7,8,12,4,8,11,15,3,8,0,0
NYU07156,00:35:03,4,7,6,12,4,8,7,15,4,8,0,0
NYU07158,00:49:48,5,7,7,12,5,8,7,15,5,8,0,0
NYU07160,00:59:59,5,7,8,12,5,8,9,15,5,8,0,0
NYU07161,00:56:59,6,7,10,12,7,8,15,15,7,8,0,0
